project,site,date,flow_l_s,sd
ANGLIAN WATER,Cambridge STW,11/11/2021,569.0,183.0
ANGLIAN WATER,Cambridge STW,12/11/2021,555.8,185.8
ANGLIAN WATER,Cambridge STW,13/11/2021,555.5,129.7
ANGLIAN WATER,Cambridge STW,14/11/2021,567.4,139.8
ANGLIAN WATER,Cambridge STW,15/11/2021,560.5,132.7
ANGLIAN WATER,Cambridge STW,16/11/2021,537.7,188.8
ANGLIAN WATER,Cambridge STW,17/11/2021,571.5,174.9
ANGLIAN WATER,Cambridge STW,18/11/2021,571.6,182.8
ANGLIAN WATER,Cambridge STW,19/11/2021,571.7,181.7
SOUTHERN WATER,BUDDS FARM HAVANT STW,11/11/2021,366.3,72.8
SOUTHERN WATER,BUDDS FARM HAVANT STW,13/11/2021,501.2,141.0
SOUTHERN WATER,BUDDS FARM HAVANT STW,14/11/2021,511.9,145.7
SOUTHERN WATER,BUDDS FARM HAVANT STW,16/11/2021,484.5,125.9
SOUTHERN WATER,BUDDS FARM HAVANT STW,18/11/2021,469.6,127.9
SOUTHERN WATER,BUDDS FARM HAVANT STW,20/11/2021,471.5,137.0
SOUTHERN WATER,BUDDS FARM HAVANT STW,21/11/2021,497.6,150.0
SOUTHERN WATER,BUDDS FARM HAVANT STW,23/11/2021,460.5,122.8
SOUTHERN WATER,BUDDS FARM HAVANT STW,25/11/2021,459.8,121.8
THAMES WATER,Beckton STW,11/11/2021,12260.3,1840.4
THAMES WATER,Beckton STW,13/11/2021,12003.3,1960.0
THAMES WATER,Beckton STW,14/11/2021,11964.8,2020.1
THAMES WATER,Beckton STW,16/11/2021,12247.2,1593.4
THAMES WATER,Beckton STW,18/11/2021,12120.0,1914.3
THAMES WATER,Beckton STW,20/11/2021,11901.7,1942.9
THAMES WATER,Beckton STW,21/11/2021,11902.6,2077.5
THAMES WATER,Beckton STW,23/11/2021,11689.2,1726.2
THAMES WATER,Beckton STW,25/11/2021,11878.5,1915.5
THAMES WATER,Mogden STW,11/11/2021,6964.8,245.5
THAMES WATER,Mogden STW,13/11/2021,6854.0,200.9
THAMES WATER,Mogden STW,14/11/2021,6903.9,241.4
THAMES WATER,Mogden STW,16/11/2021,6972.9,269.8
THAMES WATER,Mogden STW,18/11/2021,6850.8,273.4
THAMES WATER,Mogden STW,20/11/2021,6899.2,317.4
THAMES WATER,Mogden STW,21/11/2021,6913.3,401.8
THAMES WATER,Mogden STW,23/11/2021,6998.0,143.0
THAMES WATER,Mogden STW,25/11/2021,7006.1,264.8
NORTHUMBRIAN WATER,NEWCASTLE (Howdon) STW,11/11/2021,2911.3,313.0
NORTHUMBRIAN WATER,NEWCASTLE (Howdon) STW,13/11/2021,2598.8,664.4
NORTHUMBRIAN WATER,NEWCASTLE (Howdon) STW,14/11/2021,2554.5,690.1
NORTHUMBRIAN WATER,NEWCASTLE (Howdon) STW,16/11/2021,2729.7,547.3
NORTHUMBRIAN WATER,NEWCASTLE (Howdon) STW,18/11/2021,2634.8,529.5
NORTHUMBRIAN WATER,NEWCASTLE (Howdon) STW,20/11/2021,2600.8,603.6
NORTHUMBRIAN WATER,NEWCASTLE (Howdon) STW,21/11/2021,3132.8,1007.2
NORTHUMBRIAN WATER,NEWCASTLE (Howdon) STW,23/11/2021,2600.2,564.6
NORTHUMBRIAN WATER,NEWCASTLE (Howdon) STW,25/11/2021,2683.8,441.6
NORTHUMBRIAN WATER,CRAMLINGTON STW,11/11/2021,68.6,23.3
NORTHUMBRIAN WATER,CRAMLINGTON STW,13/11/2021,56.8,29.4
NORTHUMBRIAN WATER,CRAMLINGTON STW,14/11/2021,56.9,30.4
NORTHUMBRIAN WATER,CRAMLINGTON STW,16/11/2021,62.3,31.4
NORTHUMBRIAN WATER,CRAMLINGTON STW,18/11/2021,56.7,29.5
NORTHUMBRIAN WATER,CRAMLINGTON STW,20/11/2021,46.8,28.2
NORTHUMBRIAN WATER,CRAMLINGTON STW,21/11/2021,74.5,44.7
NORTHUMBRIAN WATER,CRAMLINGTON STW,23/11/2021,56.6,28.4
NORTHUMBRIAN WATER,CRAMLINGTON STW,25/11/2021,52.7,27.1
NORTHUMBRIAN WATER,SEATON CAREW 2 STW,11/11/2021,296.6,75.6
NORTHUMBRIAN WATER,SEATON CAREW 2 STW,13/11/2021,237.9,93.6
NORTHUMBRIAN WATER,SEATON CAREW 2 STW,14/11/2021,251.4,99.2
NORTHUMBRIAN WATER,SEATON CAREW 2 STW,16/11/2021,274.9,141.8
NORTHUMBRIAN WATER,SEATON CAREW 2 STW,18/11/2021,258.3,93.8
NORTHUMBRIAN WATER,SEATON CAREW 2 STW,20/11/2021,242.6,91.2
NORTHUMBRIAN WATER,SEATON CAREW 2 STW,21/11/2021,374.8,232.1
NORTHUMBRIAN WATER,SEATON CAREW 2 STW,23/11/2021,251.8,90.1
NORTHUMBRIAN WATER,SEATON CAREW 2 STW,25/11/2021,251.0,83.4
YORKSHIRE WATER,HULL STW,11/11/2021,1188.1,3.3
YORKSHIRE WATER,HULL STW,13/11/2021,1170.4,3.3
YORKSHIRE WATER,HULL STW,14/11/2021,1116.0,3.3
YORKSHIRE WATER,HULL STW,16/11/2021,1101.3,3.3
YORKSHIRE WATER,HULL STW,18/11/2021,1094.6,3.3
YORKSHIRE WATER,HULL STW,20/11/2021,1050.0,4.0
YORKSHIRE WATER,HULL STW,21/11/2021,1180.9,3.3
YORKSHIRE WATER,HULL STW,23/11/2021,1055.2,3.3
YORKSHIRE WATER,HULL STW,25/11/2021,1137.8,3.3
UNITED UTILITIES,Barnoldswick STW,11/11/2021,87.4,3.3
UNITED UTILITIES,Barnoldswick STW,13/11/2021,85.7,3.3
UNITED UTILITIES,Barnoldswick STW,14/11/2021,68.8,3.3
UNITED UTILITIES,Barnoldswick STW,16/11/2021,74.2,3.3
UNITED UTILITIES,Barnoldswick STW,18/11/2021,78.9,3.3
UNITED UTILITIES,Barnoldswick STW,20/11/2021,57.8,4.0
UNITED UTILITIES,Barnoldswick STW,21/11/2021,54.9,3.3
UNITED UTILITIES,Barnoldswick STW,23/11/2021,53.7,3.3
UNITED UTILITIES,Barnoldswick STW,25/11/2021,97.4,3.3
UNITED UTILITIES,Fleetwood STW,11/11/2021,912.5,3.3
UNITED UTILITIES,Fleetwood STW,13/11/2021,911.4,3.3
UNITED UTILITIES,Fleetwood STW,14/11/2021,838.3,3.3
UNITED UTILITIES,Fleetwood STW,16/11/2021,791.7,3.3
UNITED UTILITIES,Fleetwood STW,18/11/2021,702.2,3.3
UNITED UTILITIES,Fleetwood STW,20/11/2021,744.3,4.0
UNITED UTILITIES,Fleetwood STW,21/11/2021,718.2,3.3
UNITED UTILITIES,Fleetwood STW,23/11/2021,674.2,3.3
UNITED UTILITIES,Fleetwood STW,25/11/2021,940.1,3.3
UNITED UTILITIES,Lancaster STW,11/11/2021,588.4,3.3
UNITED UTILITIES,Lancaster STW,13/11/2021,499.5,3.3
UNITED UTILITIES,Lancaster STW,14/11/2021,469.9,3.3
UNITED UTILITIES,Lancaster STW,16/11/2021,494.6,3.3
UNITED UTILITIES,Lancaster STW,18/11/2021,438.0,3.3
UNITED UTILITIES,Lancaster STW,20/11/2021,414.4,4.0
UNITED UTILITIES,Lancaster STW,21/11/2021,415.9,3.3
UNITED UTILITIES,Lancaster STW,23/11/2021,399.3,3.3
UNITED UTILITIES,Lancaster STW,25/11/2021,592.9,3.3
